"","year","quarter","GEOID","N"
"66",2010,1,"06075025702",294
"67",2010,1,"06075022702",53
"68",2010,1,"06075020800",515
"69",2010,1,"06075030202",291
"70",2010,1,"06075026302",123
"71",2010,1,"06075040200",273
"72",2010,1,"06075021500",115
"73",2010,1,"06075018000",326
"74",2010,1,"06075061500",407
"75",2010,1,"06075042800",91
"76",2010,1,"06075012502",149
"77",2010,1,"06075032601",212
"78",2010,1,"06075016600",573
"79",2010,1,"06075035300",127
"80",2010,1,"06075042601",140
"81",2010,1,"06075012901",43
"82",2010,1,"06075061200",343
"83",2010,1,"06075015400",222
"84",2010,1,"06075023102",126
"85",2010,1,"06075012800",135
"86",2010,1,"06075026002",201
"87",2010,1,"06075017000",184
"88",2010,1,"06075030201",124
"89",2010,1,"06075012602",42
"90",2010,1,"06075016500",240
"91",2010,1,"06075016801",433
"92",2010,1,"06075017700",423
"93",2010,1,"06075031000",113
"94",2010,1,"06075013102",54
"95",2010,1,"06075020300",193
"96",2010,1,"06075015802",169
"97",2010,1,"06075015900",75
"98",2010,1,"06075026004",295
"99",2010,1,"06075023001",194
"100",2010,1,"06075031100",159
"101",2010,1,"06075030700",160
"102",2010,1,"06075032901",98
"103",2010,1,"06075020600",270
"104",2010,1,"06075047600",231
"105",2010,1,"06075010200",140
"106",2010,1,"06075011000",236
"107",2010,1,"06075011100",308
"108",2010,1,"06075045200",176
"109",2010,1,"06075011901",61
"110",2010,1,"06075980300",282
"111",2010,1,"06075047901",160
"112",2010,1,"06075020200",307
"113",2010,1,"06075030302",86
"114",2010,1,"06075030600",71
"115",2010,1,"06075016100",165
"116",2010,1,"06075030301",148
"117",2010,1,"06075030102",118
"118",2010,1,"06075016000",59
"119",2010,1,"06075016802",167
"120",2010,1,"06075012302",88
"121",2010,1,"06075031302",113
"122",2010,1,"06075017801",101
"123",2010,1,"06075025403",218
"124",2010,1,"06075035100",149
"125",2010,1,"06075025100",184
"126",2010,1,"06075021300",59
"127",2010,1,"06075025600",247
"128",2010,1,"06075022600",191
"129",2010,1,"06075031400",134
"130",2010,1,"06075023103",373
"131",2010,1,"06075015801",372
"132",2010,1,"06075022803",145
"133",2010,1,"06075031201",226
"134",2010,1,"06075060700",158
"135",2010,1,"06075032602",75
"136",2010,1,"06075015300",93
"137",2010,1,"06075015700",311
"138",2010,1,"06075020401",82
"139",2010,1,"06075025200",343
"140",2010,1,"06075015100",97
"141",2010,1,"06075022902",92
"142",2010,1,"06075061100",252
"143",2010,1,"06075012902",105
"144",2010,1,"06075040100",196
"145",2010,1,"06075017101",161
"146",2010,1,"06075047902",70
"147",2010,1,"06075022802",152
"148",2010,1,"06075047801",113
"149",2010,1,"06075013500",80
"150",2010,1,"06075011902",76
"151",2010,1,"06075025900",152
"152",2010,1,"06075010300",84
"153",2010,1,"06075010500",60
"154",2010,1,"06075030800",200
"155",2010,1,"06075011200",81
"156",2010,1,"06075021600",69
"157",2010,1,"06075021400",60
"158",2010,1,"06075030900",166
"159",2010,1,"06075031301",62
"160",2010,1,"06075021200",45
"161",2010,1,"06075030400",100
"162",2010,1,"06075013400",92
"163",2010,1,"06075022704",57
"164",2010,1,"06075021700",120
"165",2010,1,"06075020402",128
"166",2010,1,"06075035201",106
"167",2010,1,"06075025402",98
"168",2010,1,"06075032802",53
"169",2010,1,"06075021800",104
"170",2010,1,"06075032801",65
"171",2010,1,"06075015500",134
"172",2010,1,"06075031202",42
"173",2010,1,"06075060502",446
"174",2010,1,"06075011800",87
"175",2010,1,"06075011300",81
"176",2010,1,"06075026404",108
"177",2010,1,"06075010100",99
"178",2010,1,"06075021100",88
"179",2010,1,"06075033203",13
"180",2010,1,"06075012601",38
"181",2010,1,"06075026303",49
"182",2010,1,"06075033100",172
"183",2010,1,"06075980200",13
"184",2010,1,"06075030500",98
"185",2010,1,"06075033201",21
"186",2010,1,"06075035202",80
"187",2010,1,"06075032902",125
"188",2010,1,"06075060400",41
"189",2010,1,"06075013101",18
"190",2010,1,"06075033204",7
"191",2010,1,"06075980600",13
"192",2010,1,"06075980501",162
"193",2010,1,"06075023300",69
"194",2010,1,"06075060100",19
"195",2010,1,"06075017902",3
"196",2010,2,"06075026301",240
"197",2010,2,"06075020300",249
"198",2010,2,"06075020600",422
"199",2010,2,"06075020100",744
"200",2010,2,"06075022702",46
"201",2010,2,"06075035202",80
"202",2010,2,"06075011300",65
"203",2010,2,"06075016801",408
"204",2010,2,"06075033100",93
"205",2010,2,"06075010400",116
"206",2010,2,"06075010600",162
"207",2010,2,"06075022801",228
"208",2010,2,"06075026404",125
"209",2010,2,"06075010700",194
"210",2010,2,"06075040200",246
"211",2010,2,"06075060502",365
"212",2010,2,"06075016400",283
"213",2010,2,"06075016802",262
"214",2010,2,"06075061200",223
"215",2010,2,"06075045100",172
"216",2010,2,"06075026401",53
"217",2010,2,"06075016700",354
"218",2010,2,"06075012502",209
"219",2010,2,"06075012501",298
"220",2010,2,"06075012301",169
"221",2010,2,"06075022901",192
"222",2010,2,"06075012402",234
"223",2010,2,"06075061500",605
"224",2010,2,"06075012401",377
"225",2010,2,"06075010300",111
"226",2010,2,"06075026100",361
"227",2010,2,"06075017601",564
"228",2010,2,"06075021700",118
"229",2010,2,"06075018000",206
"230",2010,2,"06075025401",209
"231",2010,2,"06075015300",130
"232",2010,2,"06075021000",131
"233",2010,2,"06075040100",232
"234",2010,2,"06075011200",93
"235",2010,2,"06075016600",607
"236",2010,2,"06075010800",215
"237",2010,2,"06075010200",161
"238",2010,2,"06075030202",225
"239",2010,2,"06075011700",226
"240",2010,2,"06075047702",108
"241",2010,2,"06075015700",338
"242",2010,2,"06075047600",242
"243",2010,2,"06075013500",51
"244",2010,2,"06075047701",174
"245",2010,2,"06075047801",152
"246",2010,2,"06075047802",85
"247",2010,2,"06075015400",196
"248",2010,2,"06075016300",270
"249",2010,2,"06075020700",506
"250",2010,2,"06075012100",110
"251",2010,2,"06075013101",31
"252",2010,2,"06075023400",294
"253",2010,2,"06075023001",183
"254",2010,2,"06075026200",178
"255",2010,2,"06075011901",67
"256",2010,2,"06075011902",80
"257",2010,2,"06075045200",202
"258",2010,2,"06075020800",648
"259",2010,2,"06075021400",58
"260",2010,2,"06075030301",138
"261",2010,2,"06075015801",237
"262",2010,2,"06075042601",125
"263",2010,2,"06075017802",358
"264",2010,2,"06075980501",123
"265",2010,2,"06075016500",232
"266",2010,2,"06075025800",137
"267",2010,2,"06075023103",253
"268",2010,2,"06075025402",74
"269",2010,2,"06075061400",459
"270",2010,2,"06075042602",93
"271",2010,2,"06075032901",132
"272",2010,2,"06075042700",199
"273",2010,2,"06075020900",475
"274",2010,2,"06075025600",222
"275",2010,2,"06075025500",352
"276",2010,2,"06075022704",68
"277",2010,2,"06075033000",225
"278",2010,2,"06075035100",155
"279",2010,2,"06075011000",166
"280",2010,2,"06075022803",133
"281",2010,2,"06075035300",175
"282",2010,2,"06075022802",134
"283",2010,2,"06075026001",335
"284",2010,2,"06075031100",189
"285",2010,2,"06075030700",213
"286",2010,2,"06075031202",41
"287",2010,2,"06075023200",363
"288",2010,2,"06075013102",55
"289",2010,2,"06075025701",302
"290",2010,2,"06075017102",232
"291",2010,2,"06075015802",195
"292",2010,2,"06075030302",111
"293",2010,2,"06075020200",370
"294",2010,2,"06075022903",155
"295",2010,2,"06075030201",114
"296",2010,2,"06075025300",259
"297",2010,2,"06075030900",337
"298",2010,2,"06075035201",129
"299",2010,2,"06075021100",82
"300",2010,2,"06075060700",143
"301",2010,2,"06075012601",41
"302",2010,2,"06075032902",86
"303",2010,2,"06075017700",346
"304",2010,2,"06075026004",199
"305",2010,2,"06075015500",117
"306",2010,2,"06075032801",92
"307",2010,2,"06075012901",49
"308",2010,2,"06075020401",75
"309",2010,2,"06075980300",315
"310",2010,2,"06075030102",110
"311",2010,2,"06075011800",65
"312",2010,2,"06075015100",102
"313",2010,2,"06075013400",74
"314",2010,2,"06075011100",282
"315",2010,2,"06075021800",133
"316",2010,2,"06075025403",183
"317",2010,2,"06075016900",155
"318",2010,2,"06075025200",370
"319",2010,2,"06075020402",97
"320",2010,2,"06075030800",229
"321",2010,2,"06075061000",79
"322",2010,2,"06075031301",58
"323",2010,2,"06075032802",75
"324",2010,2,"06075061100",148
"325",2010,2,"06075025702",283
"326",2010,2,"06075030101",107
"327",2010,2,"06075047901",165
"328",2010,2,"06075031201",186
"329",2010,2,"06075012700",45
"330",2010,2,"06075035400",151
"331",2010,2,"06075030500",98
"332",2010,2,"06075015900",89
"333",2010,2,"06075016100",114
"334",2010,2,"06075980900",277
"335",2010,2,"06075012201",252
"336",2010,2,"06075010100",58
"337",2010,2,"06075012202",169
"338",2010,2,"06075012000",165
"339",2010,2,"06075025100",223
"340",2010,2,"06075021300",66
"341",2010,2,"06075017101",162
"342",2010,2,"06075032601",184
"343",2010,2,"06075017000",240
"344",2010,2,"06075030600",76
"345",2010,2,"06075012800",127
"346",2010,2,"06075026003",156
"347",2010,2,"06075026402",91
"348",2010,2,"06075031400",165
"349",2010,2,"06075013200",48
"350",2010,2,"06075047902",50
"351",2010,2,"06075012302",122
"352",2010,2,"06075025900",146
"353",2010,2,"06075031302",138
"354",2010,2,"06075022600",133
"355",2010,2,"06075016200",207
"356",2010,2,"06075026002",173
"357",2010,2,"06075021500",125
"358",2010,2,"06075015200",167
"359",2010,2,"06075016000",78
"360",2010,2,"06075031000",149
"361",2010,2,"06075030400",160
"362",2010,2,"06075060400",26
"363",2010,2,"06075012602",34
"364",2010,2,"06075042800",108
"365",2010,2,"06075020500",105
"366",2010,2,"06075021600",63
"367",2010,2,"06075010900",118
"368",2010,2,"06075023102",83
"369",2010,2,"06075026302",65
"370",2010,2,"06075060100",10
"371",2010,2,"06075015600",100
"372",2010,2,"06075026403",84
"373",2010,2,"06075013000",73
"374",2010,2,"06075012902",85
"375",2010,2,"06075032700",136
"376",2010,2,"06075026303",44
"377",2010,2,"06075017801",124
"378",2010,2,"06075021200",51
"379",2010,2,"06075010500",84
"380",2010,2,"06075032602",70
"381",2010,2,"06075023003",74
"382",2010,2,"06075022902",90
"383",2010,2,"06075023300",67
"384",2010,2,"06075013300",73
"385",2010,2,"06075980200",14
"386",2010,2,"06075033201",24
"387",2010,2,"06075033204",6
"388",2010,2,"06075980600",9
"389",2010,2,"06075033203",7
"390",2010,2,"06075017902",4
"391",2010,3,"06075980900",291
"392",2010,3,"06075035201",162
"393",2010,3,"06075010600",179
"394",2010,3,"06075022901",249
"395",2010,3,"06075020500",137
"396",2010,3,"06075030302",97
"397",2010,3,"06075030102",125
"398",2010,3,"06075012301",206
"399",2010,3,"06075020100",775
"400",2010,3,"06075031400",223
"401",2010,3,"06075061200",405
"402",2010,3,"06075026003",187
"403",2010,3,"06075042601",168
"404",2010,3,"06075016600",521
"405",2010,3,"06075022801",298
"406",2010,3,"06075016801",357
"407",2010,3,"06075060502",30
"408",2010,3,"06075020600",458
"409",2010,3,"06075016802",227
"410",2010,3,"06075010400",162
"411",2010,3,"06075042700",204
"412",2010,3,"06075012000",177
"413",2010,3,"06075012202",181
"414",2010,3,"06075012402",327
"415",2010,3,"06075017601",628
"416",2010,3,"06075061500",590
"417",2010,3,"06075017801",107
"418",2010,3,"06075021400",108
"419",2010,3,"06075021500",146
"420",2010,3,"06075020401",87
"421",2010,3,"06075025701",350
"422",2010,3,"06075011100",278
"423",2010,3,"06075016400",303
"424",2010,3,"06075045200",263
"425",2010,3,"06075021000",136
"426",2010,3,"06075012201",264
"427",2010,3,"06075025702",286
"428",2010,3,"06075016300",258
"429",2010,3,"06075026002",178
"430",2010,3,"06075017101",176
"431",2010,3,"06075011800",77
"432",2010,3,"06075026403",85
"433",2010,3,"06075022803",168
"434",2010,3,"06075030201",150
"435",2010,3,"06075020700",673
"436",2010,3,"06075026100",407
"437",2010,3,"06075011000",202
"438",2010,3,"06075047901",208
"439",2010,3,"06075010900",106
"440",2010,3,"06075023400",118
"441",2010,3,"06075021300",80
"442",2010,3,"06075012401",287
"443",2010,3,"06075012501",296
"444",2010,3,"06075040100",199
"445",2010,3,"06075023200",424
"446",2010,3,"06075016700",306
"447",2010,3,"06075013500",67
"448",2010,3,"06075017000",186
"449",2010,3,"06075011200",108
"450",2010,3,"06075010200",179
"451",2010,3,"06075010700",125
"452",2010,3,"06075015400",203
"453",2010,3,"06075015802",167
"454",2010,3,"06075022902",89
"455",2010,3,"06075015700",261
"456",2010,3,"06075020800",885
"457",2010,3,"06075015100",123
"458",2010,3,"06075025600",313
"459",2010,3,"06075010300",127
"460",2010,3,"06075021700",145
"461",2010,3,"06075025200",396
"462",2010,3,"06075016900",156
"463",2010,3,"06075030800",231
"464",2010,3,"06075011700",292
"465",2010,3,"06075026301",219
"466",2010,3,"06075017700",493
"467",2010,3,"06075031201",255
"468",2010,3,"06075012100",163
"469",2010,3,"06075031202",76
"470",2010,3,"06075035400",359
"471",2010,3,"06075013400",64
"472",2010,3,"06075025100",239
"473",2010,3,"06075060700",182
"474",2010,3,"06075025500",424
"475",2010,3,"06075020900",476
"476",2010,3,"06075032700",145
"477",2010,3,"06075010800",217
"478",2010,3,"06075032601",187
"479",2010,3,"06075061400",117
"480",2010,3,"06075026402",100
"481",2010,3,"06075013000",113
"482",2010,3,"06075032901",115
"483",2010,3,"06075025900",117
"484",2010,3,"06075035300",227
"485",2010,3,"06075035100",161
"486",2010,3,"06075030101",146
"487",2010,3,"06075021800",121
"488",2010,3,"06075016100",70
"489",2010,3,"06075025402",107
"490",2010,3,"06075010100",227
"491",2010,3,"06075040200",262
"492",2010,3,"06075980300",251
"493",2010,3,"06075012800",147
"494",2010,3,"06075021600",97
"495",2010,3,"06075010500",254
"496",2010,3,"06075026001",356
"497",2010,3,"06075031000",114
"498",2010,3,"06075030700",217
"499",2010,3,"06075047600",231
"500",2010,3,"06075015500",77
"501",2010,3,"06075011902",138
"502",2010,3,"06075018000",262
"503",2010,3,"06075021100",147
"504",2010,3,"06075032801",104
"505",2010,3,"06075030900",221
"506",2010,3,"06075016000",76
"507",2010,3,"06075031100",187
"508",2010,3,"06075047702",159
"509",2010,3,"06075020402",115
"510",2010,3,"06075032602",78
"511",2010,3,"06075033000",246
"512",2010,3,"06075030400",134
"513",2010,3,"06075047801",110
"514",2010,3,"06075030301",143
"515",2010,3,"06075011300",96
"516",2010,3,"06075025800",114
"517",2010,3,"06075023001",192
"518",2010,3,"06075047701",175
"519",2010,3,"06075020300",207
"520",2010,3,"06075042602",100
"521",2010,3,"06075047802",78
"522",2010,3,"06075012901",50
"523",2010,3,"06075016200",278
"524",2010,3,"06075030500",90
"525",2010,3,"06075015801",232
"526",2010,3,"06075012602",44
"527",2010,3,"06075060400",57
"528",2010,3,"06075015900",93
"529",2010,3,"06075045100",180
"530",2010,3,"06075022704",69
"531",2010,3,"06075013300",63
"532",2010,3,"06075047902",106
"533",2010,3,"06075023300",71
"534",2010,3,"06075020200",324
"535",2010,3,"06075012502",207
"536",2010,3,"06075023102",98
"537",2010,3,"06075026303",79
"538",2010,3,"06075017802",372
"539",2010,3,"06075031302",185
"540",2010,3,"06075022702",45
"541",2010,3,"06075026200",223
"542",2010,3,"06075015600",120
"543",2010,3,"06075023003",94
"544",2010,3,"06075061000",77
"545",2010,3,"06075061100",143
"546",2010,3,"06075023103",84
"547",2010,3,"06075025300",352
"548",2010,3,"06075030202",216
"549",2010,3,"06075022600",119
"550",2010,3,"06075022802",160
"551",2010,3,"06075031301",72
"552",2010,3,"06075030600",67
"553",2010,3,"06075980200",17
"554",2010,3,"06075032902",89
"555",2010,3,"06075013200",70
"556",2010,3,"06075025401",158
"557",2010,3,"06075025403",169
"558",2010,3,"06075033100",125
"559",2010,3,"06075032802",61
"560",2010,3,"06075016500",224
"561",2010,3,"06075011901",96
"562",2010,3,"06075022903",178
"563",2010,3,"06075026004",205
"564",2010,3,"06075012902",83
"565",2010,3,"06075026302",84
"566",2010,3,"06075013102",31
"567",2010,3,"06075012601",34
"568",2010,3,"06075035202",134
"569",2010,3,"06075017102",223
"570",2010,3,"06075015300",93
"571",2010,3,"06075012302",168
"572",2010,3,"06075026404",78
"573",2010,3,"06075015200",119
"574",2010,3,"06075012700",45
"575",2010,3,"06075042800",101
"576",2010,3,"06075980501",92
"577",2010,3,"06075017902",2
"578",2010,3,"06075033201",27
"579",2010,3,"06075060100",22
"580",2010,3,"06075026401",56
"581",2010,3,"06075013101",23
"582",2010,3,"06075021200",49
"583",2010,3,"06075980600",11
"584",2010,3,"06075033204",12
"585",2010,3,"06075033203",13
"586",2010,4,"06075047600",234
"587",2010,4,"06075011100",274
"588",2010,4,"06075020200",312
"589",2010,4,"06075012700",63
"590",2010,4,"06075022903",151
"591",2010,4,"06075018000",313
"592",2010,4,"06075023200",380
"593",2010,4,"06075031302",157
"594",2010,4,"06075030101",113
"595",2010,4,"06075020600",439
"596",2010,4,"06075020100",492
"597",2010,4,"06075016802",216
"598",2010,4,"06075016801",394
"599",2010,4,"06075020800",587
"600",2010,4,"06075042800",112
"601",2010,4,"06075011200",138
"602",2010,4,"06075017601",706
"603",2010,4,"06075032700",160
"604",2010,4,"06075030201",108
"605",2010,4,"06075012902",139
"606",2010,4,"06075022901",215
"607",2010,4,"06075047901",207
"608",2010,4,"06075026403",99
"609",2010,4,"06075023400",299
"610",2010,4,"06075060400",64
"611",2010,4,"06075025300",304
"612",2010,4,"06075012401",331
"613",2010,4,"06075023001",213
"614",2010,4,"06075980300",342
"615",2010,4,"06075012000",156
"616",2010,4,"06075020300",188
"617",2010,4,"06075017700",487
"618",2010,4,"06075047701",164
"619",2010,4,"06075016700",299
"620",2010,4,"06075016500",204
"621",2010,4,"06075032801",76
"622",2010,4,"06075030400",123
"623",2010,4,"06075047801",138
"624",2010,4,"06075012301",161
"625",2010,4,"06075012502",193
"626",2010,4,"06075025402",95
"627",2010,4,"06075040200",233
"628",2010,4,"06075031301",71
"629",2010,4,"06075015700",298
"630",2010,4,"06075025403",215
"631",2010,4,"06075030800",220
"632",2010,4,"06075017802",408
"633",2010,4,"06075012201",247
"634",2010,4,"06075061500",534
"635",2010,4,"06075016200",239
"636",2010,4,"06075010700",172
"637",2010,4,"06075032901",133
"638",2010,4,"06075061400",449
"639",2010,4,"06075025401",238
"640",2010,4,"06075025200",345
"641",2010,4,"06075020402",97
"642",2010,4,"06075011901",86
"643",2010,4,"06075033000",204
"644",2010,4,"06075010100",216
"645",2010,4,"06075020700",472
"646",2010,4,"06075061100",156
"647",2010,4,"06075023300",80
"648",2010,4,"06075020900",192
"649",2010,4,"06075015400",281
"650",2010,4,"06075035400",215
"651",2010,4,"06075012202",168
"652",2010,4,"06075010600",233
"653",2010,4,"06075042602",92
"654",2010,4,"06075020500",126
"655",2010,4,"06075015500",124
"656",2010,4,"06075016600",436
"657",2010,4,"06075031400",198
"658",2010,4,"06075012501",276
"659",2010,4,"06075011700",319
"660",2010,4,"06075025900",128
"661",2010,4,"06075010900",128
"662",2010,4,"06075026003",203
"663",2010,4,"06075012100",134
"664",2010,4,"06075026404",134
"665",2010,4,"06075030102",132
"666",2010,4,"06075025702",270
"667",2010,4,"06075025100",175
"668",2010,4,"06075022801",277
"669",2010,4,"06075023102",107
"670",2010,4,"06075023103",231
"671",2010,4,"06075032601",183
"672",2010,4,"06075023003",116
"673",2010,4,"06075013300",108
"674",2010,4,"06075015200",188
"675",2010,4,"06075013400",95
"676",2010,4,"06075013000",102
"677",2010,4,"06075015300",118
"678",2010,4,"06075026402",122
"679",2010,4,"06075010200",154
"680",2010,4,"06075980900",319
"681",2010,4,"06075061200",238
"682",2010,4,"06075045100",203
"683",2010,4,"06075032902",73
"684",2010,4,"06075061000",84
"685",2010,4,"06075012402",309
"686",2010,4,"06075022803",133
"687",2010,4,"06075060700",183
"688",2010,4,"06075011902",76
"689",2010,4,"06075016900",155
"690",2010,4,"06075017102",196
"691",2010,4,"06075010500",265
"692",2010,4,"06075031100",191
"693",2010,4,"06075045200",269
"694",2010,4,"06075016300",268
"695",2010,4,"06075021400",148
"696",2010,4,"06075033204",16
"697",2010,4,"06075030600",79
"698",2010,4,"06075025600",221
"699",2010,4,"06075012302",115
"700",2010,4,"06075031201",154
"701",2010,4,"06075016000",95
"702",2010,4,"06075025701",310
"703",2010,4,"06075025500",341
"704",2010,4,"06075026001",299
"705",2010,4,"06075021000",132
"706",2010,4,"06075026301",181
"707",2010,4,"06075021300",112
"708",2010,4,"06075035300",167
"709",2010,4,"06075030302",84
"710",2010,4,"06075033100",119
"711",2010,4,"06075026100",321
"712",2010,4,"06075026302",106
"713",2010,4,"06075022704",70
"714",2010,4,"06075015900",74
"715",2010,4,"06075026002",126
"716",2010,4,"06075980501",103
"717",2010,4,"06075011800",79
"718",2010,4,"06075026200",225
"719",2010,4,"06075042700",212
"720",2010,4,"06075026401",62
"721",2010,4,"06075030301",148
"722",2010,4,"06075012800",152
"723",2010,4,"06075026004",192
"724",2010,4,"06075047702",96
"725",2010,4,"06075022600",122
"726",2010,4,"06075022702",46
"727",2010,4,"06075016100",134
"728",2010,4,"06075010300",123
"729",2010,4,"06075021700",145
"730",2010,4,"06075015802",129
"731",2010,4,"06075040100",134
"732",2010,4,"06075010400",173
"733",2010,4,"06075010800",212
"734",2010,4,"06075013500",61
"735",2010,4,"06075031000",100
"736",2010,4,"06075042601",130
"737",2010,4,"06075011000",142
"738",2010,4,"06075015801",234
"739",2010,4,"06075012602",63
"740",2010,4,"06075021800",110
"741",2010,4,"06075021200",60
"742",2010,4,"06075021500",124
"743",2010,4,"06075012901",43
"744",2010,4,"06075017902",9
"745",2010,4,"06075016400",250
"746",2010,4,"06075022802",94
"747",2010,4,"06075030700",193
"748",2010,4,"06075021100",167
"749",2010,4,"06075012601",32
"750",2010,4,"06075022902",92
"751",2010,4,"06075031202",51
"752",2010,4,"06075017000",190
"753",2010,4,"06075015600",128
"754",2010,4,"06075030900",216
"755",2010,4,"06075013102",39
"756",2010,4,"06075035201",141
"757",2010,4,"06075030202",128
"758",2010,4,"06075015100",91
"759",2010,4,"06075980200",9
"760",2010,4,"06075047902",63
"761",2010,4,"06075060100",16
"762",2010,4,"06075025800",108
"763",2010,4,"06075032802",92
"764",2010,4,"06075035100",133
"765",2010,4,"06075047802",57
"766",2010,4,"06075017101",168
"767",2010,4,"06075013200",94
"768",2010,4,"06075030500",136
"769",2010,4,"06075033203",16
"770",2010,4,"06075032602",85
"771",2010,4,"06075021600",88
"772",2010,4,"06075026303",83
"773",2010,4,"06075060502",580
"774",2010,4,"06075035202",97
"775",2010,4,"06075011300",111
"776",2010,4,"06075033201",26
"777",2010,4,"06075017801",149
"778",2010,4,"06075020401",78
"779",2010,4,"06075980600",7
"780",2010,4,"06075013101",33
"781",2011,1,"06075020800",806
"782",2011,1,"06075030900",257
"783",2011,1,"06075035300",226
"784",2011,1,"06075035202",90
"785",2011,1,"06075042800",103
"786",2011,1,"06075032601",173
"787",2011,1,"06075013102",59
"788",2011,1,"06075025300",384
"789",2011,1,"06075012301",184
"790",2011,1,"06075011700",352
"791",2011,1,"06075031201",202
"792",2011,1,"06075022801",318
"793",2011,1,"06075045100",234
"794",2011,1,"06075023102",111
"795",2011,1,"06075026404",169
"796",2011,1,"06075021000",186
"797",2011,1,"06075026401",47
"798",2011,1,"06075012800",176
"799",2011,1,"06075016400",250
"800",2011,1,"06075010900",168
"801",2011,1,"06075025600",258
"802",2011,1,"06075016300",229
"803",2011,1,"06075012401",392
"804",2011,1,"06075012502",223
"805",2011,1,"06075023300",64
"806",2011,1,"06075018000",344
"807",2011,1,"06075026100",250
"808",2011,1,"06075016000",140
"809",2011,1,"06075012201",260
"810",2011,1,"06075011902",85
"811",2011,1,"06075020100",500
"812",2011,1,"06075026002",124
"813",2011,1,"06075011100",302
"814",2011,1,"06075015801",296
"815",2011,1,"06075021600",75
"816",2011,1,"06075016200",246
"817",2011,1,"06075020200",383
"818",2011,1,"06075016600",520
"819",2011,1,"06075017601",703
"820",2011,1,"06075017802",552
"821",2011,1,"06075011200",131
"822",2011,1,"06075061200",256
"823",2011,1,"06075020900",290
"824",2011,1,"06075012402",321
"825",2011,1,"06075022903",162
"826",2011,1,"06075016900",156
"827",2011,1,"06075016802",281
"828",2011,1,"06075020600",366
"829",2011,1,"06075035201",140
"830",2011,1,"06075016801",417
"831",2011,1,"06075030301",159
"832",2011,1,"06075047901",196
"833",2011,1,"06075012100",164
"834",2011,1,"06075061500",590
"835",2011,1,"06075016700",313
"836",2011,1,"06075031100",242
"837",2011,1,"06075980900",285
"838",2011,1,"06075032602",127
"839",2011,1,"06075010800",230
"840",2011,1,"06075031400",165
"841",2011,1,"06075040200",248
"842",2011,1,"06075030202",161
"843",2011,1,"06075010100",168
"844",2011,1,"06075010700",206
"845",2011,1,"06075010300",119
"846",2011,1,"06075025403",258
"847",2011,1,"06075042700",204
"848",2011,1,"06075015100",143
"849",2011,1,"06075016500",284
"850",2011,1,"06075023001",183
"851",2011,1,"06075012700",62
"852",2011,1,"06075035400",245
"853",2011,1,"06075060400",50
"854",2011,1,"06075011000",239
"855",2011,1,"06075015700",361
"856",2011,1,"06075012501",339
"857",2011,1,"06075012302",123
"858",2011,1,"06075017700",524
"859",2011,1,"06075025402",137
"860",2011,1,"06075012202",118
"861",2011,1,"06075042602",113
"862",2011,1,"06075012901",53
"863",2011,1,"06075021100",171
"864",2011,1,"06075061400",582
"865",2011,1,"06075980501",182
"866",2011,1,"06075025701",374
"867",2011,1,"06075025702",243
"868",2011,1,"06075047701",170
"869",2011,1,"06075025800",123
"870",2011,1,"06075032802",79
"871",2011,1,"06075023103",357
"872",2011,1,"06075016100",188
"873",2011,1,"06075017801",221
